statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
30,2020,4,12,-.247,.,-.365,.195,-.0696,-.522,-.235,-.249,.
30,2020,4,13,-.253,.,-.365,.18,-.0802,-.522,-.24,-.256,.
30,2020,4,14,-.259,.,-.367,.165,-.0907,-.521,-.244,-.263,.
30,2020,4,15,-.264,.,-.367,.158,-.103,-.52,-.248,-.268,.
30,2020,4,16,-.269,.,-.366,.15,-.112,-.52,-.253,-.273,.
30,2020,4,17,-.274,.,-.367,.143,-.12,-.519,-.257,-.278,.
30,2020,4,18,-.28,.,-.368,.135,-.127,-.518,-.262,-.284,.
30,2020,4,19,-.283,.,-.368,.128,-.133,-.495,-.265,-.288,.
30,2020,4,20,-.289,.,-.37,.121,-.139,-.489,-.269,-.294,.
30,2020,4,21,-.294,.,-.371,.113,-.146,-.478,-.271,-.3,.
30,2020,4,22,-.299,.,-.369,.0983,-.15,-.461,-.272,-.305,.
30,2020,4,23,-.303,.,-.369,.0835,-.154,-.444,-.273,-.31,.
30,2020,4,24,-.305,.,-.363,.0686,-.158,-.428,-.275,-.313,.
30,2020,4,25,-.306,.,-.364,.0612,-.156,-.414,-.275,-.313,.
30,2020,4,26,-.306,.,-.363,.0538,-.154,-.405,-.275,-.314,.
30,2020,4,27,-.304,.,-.351,.0464,-.152,-.389,-.272,-.312,.
30,2020,4,28,-.302,.,-.34,.039,-.15,-.383,-.272,-.309,.
30,2020,4,29,-.3,.,-.33,.039,-.148,-.38,-.273,-.307,.
30,2020,4,30,-.3,.,-.321,.039,-.146,-.376,-.276,-.305,.
30,2020,5,1,-.298,.,-.309,.039,-.141,-.371,-.278,-.302,.
30,2020,5,2,-.298,.,-.305,.039,-.148,-.364,-.28,-.301,.
30,2020,5,3,-.298,.,-.302,.039,-.154,-.355,-.282,-.3,.
30,2020,5,4,-.297,.,-.295,.039,-.16,-.342,-.284,-.298,.
30,2020,5,5,-.295,.,-.287,.0315,-.167,-.319,-.284,-.296,.
30,2020,5,6,-.292,.,-.275,.0241,-.173,-.293,-.28,-.293,.
