year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jz2,bg_posts_jz3,bg_posts_jz4,bg_posts_jz5
2020,2,7,44,-.176,-.121,-.0845,-.324,-.0511,-.0667,-.00901,-.187,-.144,-.147,-.415
2020,1,24,44,-.102,-.172,-.135,-.181,-.0976,-.0182,-.0811,-.0529,-.0405,-.149,-.171
2020,2,14,44,.317,.259,.163,.558,.182,.188,.495,.327,.197,.372,.255
2020,5,1,44,-.182,-.267,-.462,-.369,-.334,-.103,.00901,.0614,-.221,-.269,-.461
2020,5,22,44,-.263,-.0431,-.459,-.349,-.289,-.473,-.135,-.0543,-.339,-.444,-.263
2020,5,29,44,-.306,-.44,-.43,-.39,-.425,-.285,-.117,-.0148,-.372,-.479,-.512
2020,2,21,44,.296,.0862,-.143,.558,.158,.236,.405,.272,.302,.405,.0442
2020,4,3,44,-.0392,-.0862,-.212,-.107,-.219,-.576,-.153,.126,-.127,-.0465,-.04
2020,3,13,44,-.102,-.172,-.135,-.0256,-.196,-.0727,.0631,-.0685,-.144,-.0923,-.246
2020,4,24,44,-.396,-.0259,-.589,-.447,-.541,-.709,-.351,-.303,-.495,-.375,-.528
2020,3,27,44,.145,.129,.126,.191,-.143,.0121,.351,.359,.0921,.0653,-.0821
2020,6,5,44,-.0931,-.0431,-.39,.0481,-.265,-.0606,.225,.345,-.285,-.279,-.352
2020,1,31,44,-.08,.147,-.157,.159,-.187,-.194,-.279,-.101,-.133,.0343,-.175
2020,4,10,44,-.18,.00862,-.233,-.349,-.367,-.697,-.568,-.0191,-.284,-.22,-.276
2020,3,6,44,.0156,.0345,-.0772,.146,-.0312,.406,.189,.00776,.0368,.000673,.0779
2020,2,28,45,.108,.169,.198,.103,.21,-.0781,-.175,.0378,.134,.0758,.454
2020,1,24,45,-.0589,-.0822,.0285,-.193,-.142,.0376,-.0772,.0366,-.105,-.0879,-.137
2020,3,13,45,-.24,-.0919,-.131,-.218,-.292,-.257,-.158,-.303,-.265,-.173,-.199
2020,5,15,45,-.449,-.372,-.436,-.492,-.345,-.617,-.617,-.49,-.466,-.467,-.13
2020,3,6,45,-.0681,-.00826,-.0735,-.17,-.029,-.104,-.0154,-.123,-.0871,-.0219,.035
