year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws
2020,3,7,9,-.193,-.0755,-.0443,-.141,.362,.148,-.22
2020,3,7,10,-.00858,-.052,-.014,-.0128,.139,-.0059,-.0957
2020,3,7,11,.0381,-.212,.00281,-.0149,.172,-.0805,-.176
2020,3,7,12,-.0981,-.119,-.00503,-.0323,.279,-.0422,-.218
2020,3,7,13,-.104,-.0133,-.0876,-.0426,.0891,.181,-.279
2020,3,7,14,-.0404,-.314,-.0561,-.0336,.0226,.019,-.103
2020,3,7,16,-.0185,-.127,.0693,-.00984,.208,-.00679,-.0793
2020,3,7,17,-.0286,-.211,.0000425,-.0214,.116,.0232,-.2
2020,3,7,19,-.0324,-.102,-.0424,-.0441,.0169,-.0338,-.19
2020,3,7,20,-.0433,.131,-.00172,.0614,.0623,-.218,-.279
2020,3,7,21,-.122,-.171,-.00487,-.157,.317,-.0208,-.175
2020,3,7,22,-.0982,-.329,-.0418,-.088,.104,.279,-.15
2020,3,7,23,.0338,-.156,.054,.122,.0994,.0527,-.011
2020,3,7,24,-.0964,-.122,-.0172,.0368,.202,.0238,-.0379
2020,3,7,25,.0453,.215,-.0436,.0978,.294,-.22,-.255
2020,3,7,26,.00599,.000245,-.0187,-.0329,.0119,.2,-.0872
2020,3,7,27,-.0447,-.554,-.164,-.21,.0597,-.241,-.161
2020,3,7,28,-.022,.0037,-.0297,-.0233,.231,-.142,-.208
2020,3,7,29,-.13,-.163,-.029,.071,.299,.151,-.279
2020,3,7,30,-.0323,-.0169,.00247,.237,.201,.379,-.394
2020,3,7,31,-.12,.099,-.0672,-.0063,.0959,-.256,-.245
2020,3,7,32,-.124,-.0876,-.0298,-.0681,.306,-.0798,-.195
2020,3,7,33,-.0319,-.161,-.0403,-.0131,.0932,-.06,-.152
2020,3,7,34,-.141,-.0318,.0259,-.00269,.163,-.0125,-.0427
2020,3,7,35,-.0821,-.17,-.0215,-.00174,.166,-.125,-.111
2020,3,7,36,-.0411,-.0855,-.00439,-.0138,.263,-.0131,-.0251
2020,3,7,37,-.115,-.174,-.024,-.217,.0639,-.0839,-.363
2020,3,7,38,-.0873,-.0572,-.0458,.0214,.0916,.0109,-.249
2020,3,7,39,-.0689,-.238,-.0359,-.0928,.156,-.0459,-.252
2020,3,7,40,-.122,-.0854,.005,.0629,.12,-.0148,-.166
2020,3,7,41,-.0734,-.151,.0124,.0126,.236,.00885,-.172
2020,3,7,42,-.0461,-.106,-.0198,.0256,.139,-.0104,-.222
2020,3,7,43,-.0342,-.00123,-.0262,-.0548,.0923,-.0246,-.115
2020,3,7,44,-.246,.684,.0715,.166,.0482,.628,-.0191
2020,3,7,45,-.089,.0449,.00422,-.181,.0727,.144,-.287
