year,month,day_endofweek,countyfips,spend_all
2020,1,12,22093,-.063
2020,1,12,22095,-.0626
2020,1,12,22097,-.0704
2020,1,12,22099,-.00266
2020,1,12,22101,-.0647
2020,1,12,22103,-.061
2020,1,12,22105,.00228
2020,1,12,22109,-.103
2020,1,12,22113,.03
2020,1,12,22115,.0176
2020,1,12,23001,.0388
2020,1,12,23003,.00306
2020,1,12,23005,.0221
2020,1,12,23009,-.00821
2020,1,12,23011,.0527
2020,1,12,23013,-.0662
2020,1,12,23015,.0417
2020,1,12,23017,.0358
2020,1,12,23019,.00178
2020,1,12,23021,.154
2020,1,12,23023,-.0107
2020,1,12,23025,.0359
2020,1,12,23027,.00768
2020,1,12,23031,-.00615
2020,1,12,24001,.0146
2020,1,12,24003,.0362
2020,1,12,24005,.00139
2020,1,12,24009,.104
2020,1,12,24011,.152
2020,1,12,24013,-.0537
2020,1,12,24015,-.0344
2020,1,12,24017,.0125
2020,1,12,24019,-.102
2020,1,12,24021,.0285
2020,1,12,24023,.0111
2020,1,12,24025,-.0104
2020,1,12,24027,.0507
2020,1,12,24031,.0227
2020,1,12,24033,-.0284
2020,1,12,24035,-.0629
2020,1,12,24037,-.00822
2020,1,12,24041,.112
2020,1,12,24043,.0124
2020,1,12,24045,.0812
2020,1,12,24047,.14
2020,1,12,24510,.0228
2020,1,12,25001,.0355
2020,1,12,25003,-.0183
2020,1,12,25005,.0297
2020,1,12,25009,.0222
2020,1,12,25015,-.0196
2020,1,12,25017,.00309
2020,1,12,25021,.0126
2020,1,12,25023,-.000951
2020,1,12,25025,.0145
2020,1,12,25027,-.00418
2020,1,12,26001,-.0828
2020,1,12,26005,-.0109
2020,1,12,26007,-.0247
2020,1,12,26015,-.012
2020,1,12,26017,-.0731
2020,1,12,26021,-.141
2020,1,12,26025,-.00688
2020,1,12,26031,.00579
2020,1,12,26033,-.0883
2020,1,12,26037,.0309
2020,1,12,26041,.0374
2020,1,12,26043,.168
2020,1,12,26045,.00504
2020,1,12,26047,-.0597
2020,1,12,26049,-.00815
2020,1,12,26053,-.0579
2020,1,12,26057,.0116
2020,1,12,26061,.00633
2020,1,12,26065,-.0201
2020,1,12,26067,.0664
2020,1,12,26069,.00267
2020,1,12,26071,-.00982
2020,1,12,26073,.0959
2020,1,12,26075,.0439
2020,1,12,26077,-.284
2020,1,12,26079,.0266
2020,1,12,26081,-.00362
2020,1,12,26087,-.00859
2020,1,12,26089,.0339
2020,1,12,26091,-.0493
2020,1,12,26093,-.00382
2020,1,12,26097,-.0535
2020,1,12,26099,.0251
2020,1,12,26101,.0173
2020,1,12,26103,.0103
2020,1,12,26105,-.0582
2020,1,12,26109,.0627
2020,1,12,26111,.00879
2020,1,12,26115,.045
2020,1,12,26117,.0436
2020,1,12,26121,.00668
2020,1,12,26125,.000889
2020,1,12,26129,.0799
2020,1,12,26137,-.0149
2020,1,12,26139,.0119
2020,1,12,26141,-.0226
2020,1,12,26145,-.00295
2020,1,12,26147,.0177
2020,1,12,26155,.0729
2020,1,12,26157,-.0153
2020,1,12,26159,-.19
2020,1,12,26161,.0809
2020,1,12,26163,.0137
2020,1,12,26165,.0285
2020,1,12,27001,-.06
2020,1,12,27003,.00137
2020,1,12,27005,-.094
2020,1,12,27007,.115
2020,1,12,27009,.00157
2020,1,12,27013,.017
2020,1,12,27015,.0439
2020,1,12,27017,-.0506
2020,1,12,27019,.0136
2020,1,12,27021,.119
2020,1,12,27023,-.0438
2020,1,12,27025,-.0111
2020,1,12,27027,.00658
2020,1,12,27031,-.0728
2020,1,12,27033,-.0633
2020,1,12,27035,-.0213
2020,1,12,27037,.00245
2020,1,12,27039,.127
2020,1,12,27041,.0156
2020,1,12,27043,.0284
2020,1,12,27045,-.0721
2020,1,12,27047,-.0185
2020,1,12,27049,.00249
2020,1,12,27053,-.0156
2020,1,12,27055,-.0242
2020,1,12,27057,-.0211
2020,1,12,27059,.0523
2020,1,12,27061,.0734
2020,1,12,27063,.000614
2020,1,12,27065,.227
2020,1,12,27067,-.0292
2020,1,12,27071,-.00575
2020,1,12,27073,.11
2020,1,12,27075,-.0747
2020,1,12,27079,.0331
2020,1,12,27083,.0714
2020,1,12,27085,-.0994
2020,1,12,27089,-.0219
2020,1,12,27093,.144
2020,1,12,27095,.037
2020,1,12,27097,-.042
2020,1,12,27099,-.0175
2020,1,12,27103,-.0232
2020,1,12,27105,.0265
2020,1,12,27107,.0524
2020,1,12,27109,-.0484
2020,1,12,27111,-.0188
2020,1,12,27113,-.0671
2020,1,12,27115,-.124
2020,1,12,27119,.0274
2020,1,12,27121,-.0978
