year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,18,17047,5.72,.211
2020,1,18,17049,41.9,.216
2020,1,18,17051,39.4,.396
2020,1,18,17053,12.1,.186
2020,1,18,17055,44.5,.27
2020,1,18,17057,78.8,.516
2020,1,18,17059,6.67,.283
2020,1,18,17061,16.2,.268
2020,1,18,17063,136,.536
2020,1,18,17065,13,.293
2020,1,18,17067,15.6,.184
2020,1,18,17069,4.13,.313
2020,1,18,17071,10.2,.279
2020,1,18,17073,64.2,.254
2020,1,18,17075,39.7,.274
2020,1,18,17077,43.5,.155
2020,1,18,17079,14.6,.313
2020,1,18,17081,57.5,.328
2020,1,18,17083,33.4,.302
2020,1,18,17085,26.7,.245
2020,1,18,17087,16.8,.405
2020,1,18,17089,610,.222
2020,1,18,17091,188,.334
2020,1,18,17093,185,.269
2020,1,18,17095,59.1,.27
2020,1,18,17097,633,.167
2020,1,18,17099,262,.476
2020,1,18,17101,11.1,.188
2020,1,18,17103,61.3,.346
2020,1,18,17105,43.8,.263
2020,1,18,17107,24.8,.194
2020,1,18,17109,28.6,.212
2020,1,18,17111,401,.242
2020,1,18,17113,166,.187
2020,1,18,17115,139,.285
2020,1,18,17117,72.7,.315
2020,1,18,17119,291,.215
2020,1,18,17121,55.6,.314
2020,1,18,17123,21,.391
2020,1,18,17125,28.9,.456
2020,1,18,17127,9.53,.169
2020,1,18,17129,15.6,.238
2020,1,18,17131,27.3,.334
2020,1,18,17133,38.1,.202
2020,1,18,17135,47,.398
2020,1,18,17137,37.8,.228
2020,1,18,17139,11.8,.154
2020,1,18,17141,138,.549
2020,1,18,17143,330,.387
2020,1,18,17145,24.5,.291
2020,1,18,17147,17.8,.206
2020,1,18,17149,14.6,.207
2020,1,18,17151,4.13,.244
2020,1,18,17153,6.99,.35
2020,1,18,17155,14.3,.466
2020,1,18,17157,37.2,.259
2020,1,18,17159,20.6,.284
2020,1,18,17161,155,.215
2020,1,18,17163,294,.231
2020,1,18,17165,25.7,.265
2020,1,18,17167,221,.217
2020,1,18,17169,6.99,.213
2020,1,18,17171,4.76,.188
2020,1,18,17173,27,.252
2020,1,18,17175,6.67,.261
2020,1,18,17177,88.9,.408
2020,1,18,17179,250,.389
2020,1,18,17181,22.6,.301
2020,1,18,17183,92.8,.279
2020,1,18,17185,9.53,.162
2020,1,18,17187,8.89,.104
2020,1,18,17189,26,.254
2020,1,18,17191,19.4,.276
2020,1,18,17193,8.58,.129
2020,1,18,17195,69.6,.241
2020,1,18,17197,1116,.312
2020,1,18,17199,82,.255
2020,1,18,17201,1327,.947
2020,1,18,17203,50.5,.268
2020,1,18,19001,4,.0934
2020,1,18,19003,2,.0905
2020,1,18,19005,20,.267
2020,1,18,19007,14,.232
2020,1,18,19009,0,0
2020,1,18,19011,30,.218
2020,1,18,19013,215,.306
2020,1,18,19015,20,.132
2020,1,18,19017,22,.156
2020,1,18,19019,38,.331
2020,1,18,19021,29,.243
2020,1,18,19023,19,.237
2020,1,18,19025,6,.139
2020,1,18,19027,9,.081
2020,1,18,19029,14,.2
2020,1,18,19031,28,.254
2020,1,18,19033,35,.146
2020,1,18,19035,9,.144
