cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
3,2020,4,11,-.333,-.268,-.413,-.202,-.189,-.654,-.253,-.289,-.407
3,2020,4,12,-.344,-.283,-.427,-.205,-.197,-.664,-.261,-.3,-.419
3,2020,4,13,-.354,-.298,-.442,-.208,-.205,-.671,-.269,-.311,-.429
3,2020,4,14,-.364,-.313,-.457,-.21,-.212,-.677,-.277,-.321,-.44
3,2020,4,15,-.373,-.328,-.472,-.213,-.22,-.681,-.285,-.331,-.45
3,2020,4,16,-.383,-.345,-.485,-.219,-.227,-.686,-.292,-.341,-.46
3,2020,4,17,-.392,-.359,-.499,-.226,-.23,-.691,-.3,-.351,-.47
3,2020,4,18,-.394,-.365,-.501,-.23,-.23,-.691,-.302,-.353,-.473
3,2020,4,19,-.396,-.372,-.504,-.233,-.23,-.685,-.304,-.355,-.475
3,2020,4,20,-.399,-.379,-.506,-.237,-.231,-.683,-.305,-.357,-.477
3,2020,4,21,-.401,-.385,-.509,-.241,-.231,-.681,-.307,-.36,-.48
3,2020,4,22,-.403,-.392,-.511,-.245,-.231,-.679,-.308,-.362,-.482
3,2020,4,23,-.406,-.397,-.514,-.248,-.232,-.678,-.31,-.365,-.485
3,2020,4,24,-.408,-.404,-.517,-.25,-.235,-.677,-.313,-.368,-.487
3,2020,4,25,-.41,-.408,-.519,-.256,-.237,-.676,-.313,-.371,-.489
3,2020,4,26,-.412,-.412,-.519,-.262,-.239,-.676,-.314,-.373,-.491
3,2020,4,27,-.414,-.416,-.522,-.269,-.241,-.678,-.315,-.376,-.493
3,2020,4,28,-.416,-.42,-.522,-.275,-.243,-.676,-.315,-.379,-.495
3,2020,4,29,-.417,-.424,-.522,-.281,-.244,-.673,-.316,-.381,-.497
3,2020,4,30,-.419,-.428,-.523,-.286,-.247,-.671,-.317,-.383,-.499
3,2020,5,1,-.421,-.429,-.525,-.293,-.253,-.666,-.318,-.385,-.502
