statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
29,2020,2,15,.00457,.0109,-.0161,-.056,-.00194,.0475,-.00403,.0172,-.0187
29,2020,2,16,.00317,.0095,-.0157,-.0574,-.00248,.0444,-.00558,.0159,-.0202
29,2020,2,17,.00174,.00809,-.0153,-.0589,-.00303,.0409,-.00753,.015,-.0224
29,2020,2,18,.00337,.00844,-.0129,-.0589,-.00289,.0448,-.00577,.0167,-.0211
29,2020,2,19,.00359,.00774,-.0109,-.0596,-.00289,.0464,-.00638,.0173,-.0206
29,2020,2,20,.00386,.00703,-.00975,-.0604,-.00303,.0527,-.00633,.0181,-.0213
29,2020,2,21,.00403,.00879,-.00913,-.0618,-.00289,.0537,-.0065,.0189,-.0225
29,2020,2,22,.00269,.00844,-.0104,-.0633,-.00439,.05,-.0086,.0178,-.0231
29,2020,2,23,.00147,.00809,-.0134,-.0648,-.00589,.052,-.0103,.0169,-.0241
29,2020,2,24,-.000824,.00633,-.0134,-.0677,-.00793,.0517,-.013,.0146,-.0259
29,2020,2,25,-.00305,.00528,-.0151,-.0692,-.00956,.0531,-.0157,.012,-.0256
29,2020,2,26,-.00508,.00387,-.016,-.0707,-.0113,.0538,-.0174,.00956,-.0267
29,2020,2,27,-.00695,.00246,-.0142,-.0721,-.0127,.0535,-.0193,.00715,-.027
29,2020,2,28,-.00869,.000352,-.0136,-.0751,-.0138,.055,-.0212,.00483,-.0266
29,2020,2,29,-.00889,-.00141,-.00975,-.0773,-.0149,.0655,-.0221,.00453,-.0253
29,2020,3,1,-.00975,-.00317,-.00826,-.0795,-.016,.0685,-.0233,.00348,-.0252
29,2020,3,2,-.0108,-.00492,-.00739,-.0817,-.017,.0701,-.0249,.00259,-.0253
29,2020,3,3,-.0119,-.00668,-.00627,-.0839,-.0181,.0685,-.0263,.00117,-.0253
29,2020,3,4,-.013,-.00844,-.00652,-.0853,-.019,.0706,-.0278,.000083,-.0256
29,2020,3,5,-.0138,-.00985,-.00515,-.0861,-.0198,.0717,-.029,-.00105,-.0245
29,2020,3,6,-.0149,-.0134,-.00665,-.0861,-.0213,.0736,-.0299,-.0027,-.0242
29,2020,3,7,-.0158,-.0165,-.0105,-.0787,-.0226,.0723,-.0307,-.00396,-.0239
