year,month,day_endofweek,statefips,initclaims_count_regular,contclaims_count_regular,initclaims_count_pua,contclaims_count_peuc,contclaims_count_pua,initclaims_count_combined,contclaims_count_combined,initclaims_rate_regular,contclaims_rate_regular,initclaims_rate_pua,contclaims_rate_peuc,contclaims_rate_pua,initclaims_rate_combined,contclaims_rate_combined
2020,1,25,44,1048,10714,0,0,0,1048,10714,.189,1.93,0,0,0,.189,1.93
2020,1,25,45,2248,17113,0,0,0,2248,17113,.0946,.72,0,0,0,.0946,.72
2020,1,25,46,291,3071,0,0,0,291,3071,.0627,.662,0,0,0,.0627,.662
2020,1,25,47,2484,20786,0,0,0,2484,20786,.0743,.621,0,0,0,.0743,.621
2020,1,25,48,12900,131851,0,0,0,12900,131851,.0918,.939,0,0,0,.0918,.939
2020,1,25,49,1271,12061,0,0,0,1271,12061,.0791,.75,0,0,0,.0791,.75
2020,1,25,50,518,4986,0,0,0,518,4986,.151,1.46,0,0,0,.151,1.46
2020,1,25,51,3059,21661,0,0,0,3059,21661,.0693,.491,0,0,0,.0693,.491
2020,1,25,53,7928,67414,0,0,0,7928,67414,.203,1.72,0,0,0,.203,1.72
2020,1,25,54,1290,16745,0,0,0,1290,16745,.162,2.1,0,0,0,.162,2.1
2020,1,25,55,6134,44077,0,0,0,6134,44077,.198,1.42,0,0,0,.198,1.42
2020,1,25,56,531,3354,0,0,0,531,3354,.182,1.15,0,0,0,.182,1.15
2020,2,1,1,2170,17284,0,0,0,2170,17284,.0968,.771,0,0,0,.0968,.771
2020,2,1,2,1122,9579,0,0,0,1122,9579,.323,2.75,0,0,0,.323,2.75
2020,2,1,4,3796,18844,0,0,0,3796,18844,.107,.531,0,0,0,.107,.531
2020,2,1,5,1837,13210,0,0,0,1837,13210,.135,.969,0,0,0,.135,.969
2020,2,1,6,43336,387470,0,0,0,43336,387470,.223,2,0,0,0,.223,2
2020,2,1,8,2041,21560,0,0,0,2041,21560,.0648,.685,0,0,0,.0648,.685
2020,2,1,9,2959,41464,0,0,0,2959,41464,.155,2.17,0,0,0,.155,2.17
2020,2,1,10,622,6830,0,0,0,622,6830,.128,1.4,0,0,0,.128,1.4
2020,2,1,11,539,7139,0,0,0,539,7139,.13,1.72,0,0,0,.13,1.72
2020,2,1,12,5457,35867,0,0,0,5457,35867,.0529,.347,0,0,0,.0529,.347
2020,2,1,13,5199,28332,0,0,0,5199,28332,.102,.554,0,0,0,.102,.554
2020,2,1,15,1135,6070,0,0,0,1135,6070,.171,.913,0,0,0,.171,.913
2020,2,1,16,1446,11337,0,0,0,1446,11337,.164,1.29,0,0,0,.164,1.29
2020,2,1,17,9343,143239,0,0,0,9343,143239,.145,2.22,0,0,0,.145,2.22
2020,2,1,18,3016,22017,0,0,0,3016,22017,.089,.65,0,0,0,.089,.65
2020,2,1,19,3066,30883,0,0,0,3066,30883,.176,1.78,0,0,0,.176,1.78
2020,2,1,20,1987,12198,0,0,0,1987,12198,.134,.821,0,0,0,.134,.821
2020,2,1,21,2625,23219,0,0,0,2625,23219,.127,1.12,0,0,0,.127,1.12
2020,2,1,22,2058,16189,0,0,0,2058,16189,.0982,.773,0,0,0,.0982,.773
2020,2,1,23,881,8914,0,0,0,881,8914,.127,1.29,0,0,0,.127,1.29
2020,2,1,24,3203,29788,0,0,0,3203,29788,.0982,.914,0,0,0,.0982,.914
2020,2,1,25,5523,76872,0,0,0,5523,76872,.145,2.01,0,0,0,.145,2.01
2020,2,1,26,6869,82753,0,0,0,6869,82753,.139,1.68,0,0,0,.139,1.68
2020,2,1,27,3699,62126,0,0,0,3699,62126,.119,2,0,0,0,.119,2
2020,2,1,28,963,8674,0,0,0,963,8674,.0755,.68,0,0,0,.0755,.68
2020,2,1,29,4754,29423,0,0,0,4754,29423,.154,.954,0,0,0,.154,.954
2020,2,1,30,902,11527,0,0,0,902,11527,.169,2.16,0,0,0,.169,2.16
2020,2,1,31,851,7163,0,0,0,851,7163,.0822,.692,0,0,0,.0822,.692
2020,2,1,32,2286,19177,0,0,0,2286,19177,.148,1.24,0,0,0,.148,1.24
2020,2,1,33,456,4023,0,0,0,456,4023,.0589,.52,0,0,0,.0589,.52
2020,2,1,34,8304,110022,0,0,0,8304,110022,.185,2.45,0,0,0,.185,2.45
2020,2,1,35,784,10066,0,0,0,784,10066,.0821,1.05,0,0,0,.0821,1.05
2020,2,1,36,16505,165286,0,0,0,16505,165286,.173,1.74,0,0,0,.173,1.74
2020,2,1,37,3611,22342,0,0,0,3611,22342,.0711,.44,0,0,0,.0711,.44
2020,2,1,38,447,6782,0,0,0,447,6782,.111,1.68,0,0,0,.111,1.68
2020,2,1,39,7320,72495,0,0,0,7320,72495,.126,1.25,0,0,0,.126,1.25
2020,2,1,40,1779,17451,0,0,0,1779,17451,.0966,.948,0,0,0,.0966,.948
2020,2,1,41,4837,31788,0,0,0,4837,31788,.23,1.51,0,0,0,.23,1.51
2020,2,1,42,15893,135946,0,0,0,15893,135946,.245,2.09,0,0,0,.245,2.09
2020,2,1,44,971,11007,0,0,0,971,11007,.175,1.98,0,0,0,.175,1.98
2020,2,1,45,2099,17061,0,0,0,2099,17061,.0883,.718,0,0,0,.0883,.718
2020,2,1,46,217,3155,0,0,0,217,3155,.0468,.68,0,0,0,.0468,.68
2020,2,1,47,2362,21364,0,0,0,2362,21364,.0706,.639,0,0,0,.0706,.639
2020,2,1,48,13733,139688,0,0,0,13733,139688,.0978,.995,0,0,0,.0978,.995
