year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2020,2,28,2,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,4,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,5,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,6,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,8,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,9,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,10,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,11,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,12,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,13,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,15,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,16,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,17,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,18,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,19,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,28,20,.,.,.,.,.,.,.,.,.,.,.,.,.
