year,month,day,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020,1,22,36,.000812,.00457,.0013,-.00216
2020,1,22,37,.0000186,.,.00104,-.00571
2020,1,22,38,.00451,-.00088,.00935,.00127
2020,1,22,39,.00559,.,.0104,.000406
2020,1,22,40,-.00197,.000407,.,-.00244
2020,1,22,41,.00429,.00536,.00505,.00295
2020,1,22,42,.00167,.00444,.00412,-.00338
2020,1,22,43,.00226,.00019,.000819,.00688
2020,1,22,44,-.000294,.00127,.00121,-.00621
2020,1,22,45,-.00127,.,.,.
2020,1,22,46,-.00174,.,.00198,-.00313
2020,1,22,47,.00803,-.00522,.0135,.00436
2020,1,22,48,.0218,.,.,.
2020,1,22,49,.00576,.00898,.00134,.
2020,1,22,50,.00623,.013,.00374,.00341
2020,1,22,51,.,.,.,.
2020,1,22,52,.00428,.0031,.00628,.00172
2020,1,22,53,-.000228,.00301,-.000652,-.0027
2020,1,23,1,.00542,-.00528,.00754,.00425
2020,1,23,2,.00455,.0064,.00342,.00576
2020,1,23,3,.00373,.0077,.00358,.00149
2020,1,23,4,.00599,.,.00935,.00238
2020,1,23,5,.000218,-.00352,.00277,-.00188
2020,1,23,6,.00549,-.0123,.0111,.00411
2020,1,23,7,.00273,.00518,.00527,-.00346
2020,1,23,8,.00291,.,.00445,.00219
2020,1,23,9,.00655,-.0175,.00978,.00352
2020,1,23,10,.00567,.0078,.00721,.000223
2020,1,23,11,.00114,.00126,.0038,-.00544
2020,1,23,12,.00692,.00944,.00907,.00427
2020,1,23,13,.0064,.,.,.00438
2020,1,23,14,.00471,.0188,.,-.00178
2020,1,23,15,.00309,.00435,.,.00228
2020,1,23,16,.0112,.00831,.,-.000833
2020,1,23,17,.00102,.00109,.00412,-.00513
2020,1,23,18,.0061,-.00112,.00931,.00623
2020,1,23,19,-.000734,.,.00424,.
2020,1,23,20,.00624,.00615,.00902,.000264
2020,1,23,21,.00519,-.00314,.00399,.00671
2020,1,23,22,.00625,.003,.,.
2020,1,23,23,.,.,.,.
2020,1,23,24,.00379,.,.00648,-.00124
2020,1,23,25,.00396,.00357,.00432,.00365
2020,1,23,26,.00483,.00969,.00227,.
2020,1,23,27,.00126,.,-.0000799,.00651
2020,1,23,28,.00241,.,.,-.000387
2020,1,23,29,.00389,.00104,.00614,.00213
2020,1,23,30,.0022,.00156,.004,-.00107
2020,1,23,31,.00378,.0044,.00414,.00194
2020,1,23,32,.00955,.,.00783,.000703
2020,1,23,33,.00402,-.000997,.0102,-.00704
2020,1,23,34,.00695,-.00795,.,-.000157
2020,1,23,35,.00306,-.0161,.00685,.00366
2020,1,23,36,.00138,.00503,.00246,-.00232
2020,1,23,37,-.00014,.,.00103,-.0063
2020,1,23,38,.00558,-.000861,.0108,.00261
2020,1,23,39,.00612,.,.0123,.00243
2020,1,23,40,-.00441,.00141,.,-.00596
2020,1,23,41,.00469,.00552,.00559,.00318
2020,1,23,42,.00178,.00607,.00416,-.00395
2020,1,23,43,.0028,.00138,.0014,.00676
2020,1,23,44,-.0000793,.00125,.00169,-.00611
2020,1,23,45,-.00185,.,.,.
2020,1,23,46,-.00263,.,.00228,-.00257
2020,1,23,47,.0109,-.00485,.0178,.00523
2020,1,23,48,.0236,.,.,.
2020,1,23,49,.008,.00839,.00423,.
2020,1,23,50,.00773,.0169,.0054,.00159
2020,1,23,51,.,.,.,.
2020,1,23,52,.00387,.00409,.00533,.000667
2020,1,23,53,-.000716,.00149,-.000755,-.0029
